Name;Path;Data Type;Logical Address;Comment;Kind;Station
3a_Material_Placed_PP_Metal;Standard-Variablentabelle;Bool;%M0.2;;PLC;Standard-Variablentabelle
Clock_Byte;Standard-Variablentabelle;Byte;%MB20;;PLC;Standard-Variablentabelle
4a_HMI_Start;Gantry;Bool;%M8.0;Zone 4A HMI (same as previous Palletizer screen);PLC;Gantry
4a_HMI_Stop;Gantry;Bool;%M8.1;Zone 4A;PLC;Gantry
4a_HMI_Reset;Gantry;Bool;%M8.2;Zone 4A;PLC;Gantry
4a_HMI_Auto;Gantry;Bool;%M8.3;Zone 4A;PLC;Gantry
4a_HMI_SingleCycle;Gantry;Bool;%M8.4;Zone 4A;PLC;Gantry
4a_Pallet_Ready;Gantry;Bool;%M10.3;HMI compatibility (palletizer name);PLC;Gantry
4a_Loading_Pallet_Active;Gantry;Bool;%M10.4;TRUE while Grab;PLC;Gantry
4a_Busy;Gantry;Bool;%M10.5;Zone 4A Busy;PLC;Gantry
4a_Done;Gantry;Bool;%M10.6;Zone 4A Done;PLC;Gantry
4a_State;Gantry;Int;%MW12;Zone 4A step;PLC;Gantry
4a_Assembly_Count;Gantry;Int;%MW14;HMI compatibility;PLC;Gantry
4a_HMI_Lamp_Ready;Gantry;Bool;%M11.0;Zone 4A;PLC;Gantry
4a_HMI_Lamp_Running;Gantry;Bool;%M11.1;Zone 4A;PLC;Gantry
4a_HMI_Lamp_Done;Gantry;Bool;%M11.2;Zone 4A;PLC;Gantry
4a_HMI_Lamp_Stopped;Gantry;Bool;%M11.3;Zone 4A;PLC;Gantry
4a_HMI_Lamp_Auto;Gantry;Bool;%M11.4;Zone 4A;PLC;Gantry
4a_HMI_Lamp_Manual;Gantry;Bool;%M11.5;Zone 4A;PLC;Gantry
4a_HMI_Cycle_Count;Gantry;Int;%MW16;Zone 4A;PLC;Gantry
4a_HMI_Step_Text_ID;Gantry;Int;%MW18;Zone 4A;PLC;Gantry
1a_M_C_0_ANWESEND_Sensor;Standard-Variablentabelle;Bool;%E0.0;1a | Factory I/O: 1a_M_C_0_ANWESEND_Sensor;PLC;Standard-Variablentabelle
1a_M_C_1_ANWESEND_Sensor;Standard-Variablentabelle;Bool;%E0.1;1a | Factory I/O: 1a_M_C_1_ANWESEND_Sensor;PLC;Standard-Variablentabelle
1b_plastic_raw_material_sensor_1;Standard-Variablentabelle;Bool;%E1.0;1b | Factory I/O: 1b_plastic_raw_material_sensor_1;PLC;Standard-Variablentabelle
1b_Plastic_raw_material_sensor_2;Standard-Variablentabelle;Bool;%E1.1;1b | Factory I/O: 1b_Plastic_raw_material_sensor_2;PLC;Standard-Variablentabelle
2a_Eck_Foerderband_MBase;Standard-Variablentabelle;Bool;%E2.0;2a | Factory I/O: 2a_Eck_Foerderband_MBase;PLC;Standard-Variablentabelle
2a_Eck_Foerderband_MLid;Standard-Variablentabelle;Bool;%E2.1;2a | Factory I/O: 2a_Eck_Foerderband_MLid;PLC;Standard-Variablentabelle
2a_Worked_Part_from_MC_out;Standard-Variablentabelle;Bool;%E2.2;2a | Factory I/O: 2a_Worked_Part_from_MC_out;PLC;Standard-Variablentabelle
2a_Worked_Part_from_MC_out_2;Standard-Variablentabelle;Bool;%E2.3;2a | Factory I/O: 2a_Worked_Part_from_MC_out_2;PLC;Standard-Variablentabelle
3b_Diffuse_Sensor_12;Standard-Variablentabelle;Bool;%E7.4;2b | Factory I/O: 2b_Diffuse Sensor 12;PLC;Standard-Variablentabelle
2b_Diffuse_Sensor_39;Standard-Variablentabelle;Bool;%E3.1;2b | Factory I/O: 2b_Diffuse Sensor 39;PLC;Standard-Variablentabelle
2b_Diffuse_Sensor_42;Standard-Variablentabelle;Bool;%E3.2;2b | Factory I/O: 2b_Diffuse Sensor 42;PLC;Standard-Variablentabelle
3a_Baugruppe_Left_Positioner_2_Clamped;Standard-Variablentabelle;Bool;%E4.0;3a | Factory I/O: 3a_Baugruppe_Left Positioner 2 (Clamped);PLC;Standard-Variablentabelle
3a_Part_Left_1;Standard-Variablentabelle;Bool;%E4.1;3a | Factory I/O: 3a_Part_Left_1;PLC;Standard-Variablentabelle
3a_Right_Positioner_0_Limit;Standard-Variablentabelle;Bool;%E4.2;3a | Factory I/O: 3a_Right Positioner 0 (Limit);PLC;Standard-Variablentabelle
3a_Right_Positioner_0_Clamped;Standard-Variablentabelle;Bool;%E4.3;3a | Factory I/O: 3a_Right Positioner 0 (Clamped);PLC;Standard-Variablentabelle
