Name;DataType;LogicalAddress
Stackable_Box_Present;Bool;%I6.1
Stackable_Box_At_Palletizer;Bool;%I6.2
Assembled_Part_Present;Bool;%I6.3
Clamped;Bool;%I6.4
Plate_Limit;Bool;%I6.5
Pusher_Limit;Bool;%I6.6
Elevator_Moving;Bool;%I6.7
Elev_Back_Limit;Bool;%I7.0
Elev_Front_Limit;Bool;%I7.1
Warning_Light;Bool;%Q6.1
Emit_Stackable_Box;Bool;%Q6.2
Roller_Conveyor;Bool;%Q6.3
Push;Bool;%Q6.4
Turn;Bool;%Q6.5
Clamp;Bool;%Q6.6
Belt_Fwd;Bool;%Q6.7
Belt_Rev;Bool;%Q7.0
Chain_Fwd;Bool;%Q7.1
Chain_Rev;Bool;%Q7.2
Open_Plate;Bool;%Q7.3
Elevator_Up;Bool;%Q7.4
Elevator_Down;Bool;%Q7.5
Move_To_Limit;Bool;%Q7.6
HMI_Start;Bool;%M0.0
HMI_Stop;Bool;%M0.1
HMI_Reset;Bool;%M0.2
HMI_Auto;Bool;%M0.3
HMI_SingleCycle;Bool;%M0.4
Man_Emit_Stackable_Box;Bool;%M1.0
Man_Roller_Conveyor;Bool;%M1.1
Man_Push;Bool;%M1.2
Man_Turn;Bool;%M1.3
Man_Clamp;Bool;%M1.4
Man_Belt_Fwd;Bool;%M1.5
Man_Belt_Rev;Bool;%M1.6
Man_Chain_Fwd;Bool;%M1.7
Man_Chain_Rev;Bool;%M2.0
Man_Open_Plate;Bool;%M2.1
Man_Elevator_Up;Bool;%M2.2
Man_Elevator_Down;Bool;%M2.3
Man_Move_To_Limit;Bool;%M2.4
Man_Warning_Light;Bool;%M2.5
Stackable_Box_Ready;Bool;%M10.0
Loading_Box_Active;Bool;%M10.1
Busy;Bool;%M10.2
Done;Bool;%M10.3
State;Int;%MW12
Assembly_Count;Int;%MW14
HMI_Lamp_Ready;Bool;%M11.0
HMI_Lamp_Running;Bool;%M11.1
HMI_Lamp_Done;Bool;%M11.2
HMI_Lamp_Stopped;Bool;%M11.3
HMI_Lamp_Auto;Bool;%M11.4
HMI_Lamp_Manual;Bool;%M11.5
HMI_Cycle_Count;Int;%MW16
HMI_Step_Text_ID;Int;%MW18
Belt_Run_Time;Time;%MD20
Plate_Open_Time;Time;%MD24
Unload_Time;Time;%MD28
Assemblies_Per_Layer;Int;%MW32
Place_0_X_Position_V;Real;%ID30
Place_0_Z_Position_V;Real;%ID34
Waage_0_Weight_V;Real;%ID38
TwoAxis_PnP_0_X_SetPoint_V;Real;%QD8
TwoAxis_PnP_0_Z_SetPoint_V;Real;%QD12
Digital_Display_2;DInt;%QD16
