Category;Name;DataType;LogicalAddress;Comment
01_HMI_Commands;HMI_Start;Bool;%M0.0;HMI Start pulse
01_HMI_Commands;HMI_Stop;Bool;%M0.1;HMI Stop
01_HMI_Commands;HMI_Reset;Bool;%M0.2;HMI Reset pulse
01_HMI_Commands;HMI_Auto;Bool;%M0.3;HMI Auto=1 Manual=0
01_HMI_Commands;HMI_SingleCycle;Bool;%M0.4;HMI single cycle mode
02_HMI_Manual_Jog;Man_Emit_Stackable_Box;Bool;%M1.0;Manual jog emit box
02_HMI_Manual_Jog;Man_Roller_Conveyor;Bool;%M1.1;Manual jog roller
02_HMI_Manual_Jog;Man_Push;Bool;%M1.2;Manual jog push
02_HMI_Manual_Jog;Man_Turn;Bool;%M1.3;Manual jog turn
02_HMI_Manual_Jog;Man_Clamp;Bool;%M1.4;Manual jog clamp
02_HMI_Manual_Jog;Man_Belt_Fwd;Bool;%M1.5;Manual jog belt +
02_HMI_Manual_Jog;Man_Belt_Rev;Bool;%M1.6;Manual jog belt -
02_HMI_Manual_Jog;Man_Chain_Fwd;Bool;%M1.7;Manual jog chain +
02_HMI_Manual_Jog;Man_Chain_Rev;Bool;%M2.0;Manual jog chain -
02_HMI_Manual_Jog;Man_Open_Plate;Bool;%M2.1;Manual jog open plate
02_HMI_Manual_Jog;Man_Elevator_Up;Bool;%M2.2;Manual jog elevator +
02_HMI_Manual_Jog;Man_Elevator_Down;Bool;%M2.3;Manual jog elevator -
02_HMI_Manual_Jog;Man_Move_To_Limit;Bool;%M2.4;Manual jog move to limit
02_HMI_Manual_Jog;Man_Warning_Light;Bool;%M2.5;Manual jog warning light
03_Sensors;Stackable_Box_Present;Bool;%I6.1;Sensor stackable box present
03_Sensors;Stackable_Box_At_Palletizer;Bool;%I6.2;Sensor box at palletizer
03_Sensors;Assembled_Part_Present;Bool;%I6.3;Sensor assembled part present
03_Sensors;Clamped;Bool;%I6.4;Palletizer clamped
03_Sensors;Plate_Limit;Bool;%I6.5;Palletizer plate closed
03_Sensors;Pusher_Limit;Bool;%I6.6;Palletizer pusher limit
03_Sensors;Elevator_Moving;Bool;%I6.7;Palletizer elevator moving
03_Sensors;Elev_Back_Limit;Bool;%I7.0;Palletizer elevator back limit
03_Sensors;Elev_Front_Limit;Bool;%I7.1;Palletizer elevator front limit Lichtschrank
04_Actuators;Warning_Light;Bool;%Q6.1;Actuator warning light
04_Actuators;Emit_Stackable_Box;Bool;%Q6.2;Actuator emit stackable box
04_Actuators;Roller_Conveyor;Bool;%Q6.3;Actuator roller conveyor
04_Actuators;Push;Bool;%Q6.4;Palletizer push
04_Actuators;Turn;Bool;%Q6.5;Palletizer turn
04_Actuators;Clamp;Bool;%Q6.6;Palletizer clamp
04_Actuators;Belt_Fwd;Bool;%Q6.7;Palletizer belt +
04_Actuators;Belt_Rev;Bool;%Q7.0;Palletizer belt -
04_Actuators;Chain_Fwd;Bool;%Q7.1;Palletizer chain +
04_Actuators;Chain_Rev;Bool;%Q7.2;Palletizer chain -
04_Actuators;Open_Plate;Bool;%Q7.3;Palletizer open plate
04_Actuators;Elevator_Up;Bool;%Q7.4;Palletizer elevator +
04_Actuators;Elevator_Down;Bool;%Q7.5;Palletizer elevator -
04_Actuators;Move_To_Limit;Bool;%Q7.6;Palletizer move to limit
05_Status;Stackable_Box_Ready;Bool;%M10.0;Status box ready
05_Status;Loading_Box_Active;Bool;%M10.1;Status loading box active
05_Status;Busy;Bool;%M10.2;Status busy
05_Status;Done;Bool;%M10.3;Status done
05_Status;State;Int;%MW12;Status step number
05_Status;Assembly_Count;Int;%MW14;Status assembly count
06_HMI_Feedback;HMI_Lamp_Ready;Bool;%M11.0;HMI lamp ready
06_HMI_Feedback;HMI_Lamp_Running;Bool;%M11.1;HMI lamp running
06_HMI_Feedback;HMI_Lamp_Done;Bool;%M11.2;HMI lamp done
06_HMI_Feedback;HMI_Lamp_Stopped;Bool;%M11.3;HMI lamp stopped
06_HMI_Feedback;HMI_Lamp_Auto;Bool;%M11.4;HMI lamp auto
06_HMI_Feedback;HMI_Lamp_Manual;Bool;%M11.5;HMI lamp manual
06_HMI_Feedback;HMI_Cycle_Count;Int;%MW16;HMI cycle counter
06_HMI_Feedback;HMI_Step_Text_ID;Int;%MW18;HMI step text list ID
07_Recipe;Belt_Run_Time;Time;%MD20;Recipe belt run time
07_Recipe;Plate_Open_Time;Time;%MD24;Recipe plate open time
07_Recipe;Unload_Time;Time;%MD28;Recipe unload time
07_Recipe;Assemblies_Per_Layer;Int;%MW32;Recipe assemblies per layer
08_Scene_Other;Place_0_X_Position_V;Real;%ID30;Place 0 X Position (V)
08_Scene_Other;Place_0_Z_Position_V;Real;%ID34;Place 0 Z Position (V)
08_Scene_Other;Waage_0_Weight_V;Real;%ID38;Waage 0 Weight (V)
08_Scene_Other;TwoAxis_PnP_0_X_SetPoint_V;Real;%QD8;Two-Axis Pick & Place 0 X Set Point (V)
08_Scene_Other;TwoAxis_PnP_0_Z_SetPoint_V;Real;%QD12;Two-Axis Pick & Place 0 Z Set Point (V)
08_Scene_Other;Digital_Display_2;DInt;%QD16;Digital Display 2
