Category;Name;DataType;LogicalAddress;Comment
01_HMI_Commands;HMI_Start;Bool;%M0.0;HMI Start
01_HMI_Commands;HMI_Stop;Bool;%M0.1;HMI Stop
01_HMI_Commands;HMI_Reset;Bool;%M0.2;HMI Reset
01_HMI_Commands;HMI_Auto;Bool;%M0.3;HMI Auto=1 Manual=0
01_HMI_Commands;HMI_SingleCycle;Bool;%M0.4;HMI single cycle (1 pallet = 2 assemblies)
03_Gantry_Sensors;Gantry_X_Pos_V;Real;%ID40;Pick & Place # X Position (V) [0..10]
03_Gantry_Sensors;Gantry_Y_Pos_V;Real;%ID44;Pick & Place # Y Position (V) [0..10]
03_Gantry_Sensors;Gantry_Z_Pos_V;Real;%ID48;Pick & Place # Z Position (V) [0..10]
03_Gantry_Sensors;Gantry_Moving_Z;Bool;%I10.0;Pick & Place # (Moving-Z)
03_Gantry_Sensors;Gantry_Moving_XY;Bool;%I10.1;Pick & Place # (Moving-XY)
03_Gantry_Sensors;Gantry_Box_Detected;Bool;%I10.2;Pick & Place # (Box Detected)
03_Gantry_Sensors;Gantry_C_Limit;Bool;%I10.3;Pick & Place # (C Limit)
03_Sensors;Pallet_Present;Bool;%I6.1;TRUE = pallet already available (skip emit)
04_Gantry_Actuators;Gantry_X_SetPoint_V;Real;%QD40;Pick & Place # X Set Point (V) [0..10]
04_Gantry_Actuators;Gantry_Y_SetPoint_V;Real;%QD44;Pick & Place # Y Set Point (V) [0..10]
04_Gantry_Actuators;Gantry_Z_SetPoint_V;Real;%QD48;Pick & Place # Z Set Point (V) [0..10]
04_Gantry_Actuators;Gantry_C_Plus;Bool;%Q10.0;Pick & Place # C(+)
04_Gantry_Actuators;Gantry_Grab;Bool;%Q10.1;Pick & Place # (Grab)
04_Actuators;Emit_Pallet;Bool;%Q8.1;Emit pallet when not present (step 5)
04_Actuators;Warning_Light;Bool;%Q8.2;Warning light
05_Status;Pallet_Ready;Bool;%M10.0;Pallet being filled
05_Status;Loading_Pallet_Active;Bool;%M10.1;TRUE while Grab / carrying
05_Status;Busy;Bool;%M10.2;Busy
05_Status;Done;Bool;%M10.3;Done
05_Status;State;Int;%MW12;Step number
05_Status;Assembly_Count;Int;%MW14;Assemblies on current pallet (0..2)
06_HMI_Feedback;HMI_Lamp_Ready;Bool;%M11.0;Ready lamp
06_HMI_Feedback;HMI_Lamp_Running;Bool;%M11.1;Running lamp
06_HMI_Feedback;HMI_Lamp_Done;Bool;%M11.2;Done lamp
06_HMI_Feedback;HMI_Lamp_Stopped;Bool;%M11.3;Stopped lamp
06_HMI_Feedback;HMI_Lamp_Auto;Bool;%M11.4;Auto lamp
06_HMI_Feedback;HMI_Lamp_Manual;Bool;%M11.5;Manual lamp
06_HMI_Feedback;HMI_Cycle_Count;Int;%MW16;Completed pallets
06_HMI_Feedback;HMI_Step_Text_ID;Int;%MW18;Step text ID
