Name;DataType;LogicalAddress
HMI_Start;Bool;%M0.0
HMI_Stop;Bool;%M0.1
HMI_Reset;Bool;%M0.2
HMI_Auto;Bool;%M0.3
HMI_SingleCycle;Bool;%M0.4
Gantry_X_Pos_V;Real;%ID40
Gantry_Y_Pos_V;Real;%ID44
Gantry_Z_Pos_V;Real;%ID48
Gantry_Moving_Z;Bool;%I10.0
Gantry_Moving_XY;Bool;%I10.1
Gantry_Box_Detected;Bool;%I10.2
Gantry_C_Limit;Bool;%I10.3
Gantry_X_SetPoint_V;Real;%QD40
Gantry_Y_SetPoint_V;Real;%QD44
Gantry_Z_SetPoint_V;Real;%QD48
Gantry_C_Plus;Bool;%Q10.0
Gantry_Grab;Bool;%Q10.1
Warning_Light;Bool;%Q8.2
Pallet_Ready;Bool;%M10.0
Loading_Pallet_Active;Bool;%M10.1
Busy;Bool;%M10.2
Done;Bool;%M10.3
State;Int;%MW12
Assembly_Count;Int;%MW14
HMI_Lamp_Ready;Bool;%M11.0
HMI_Lamp_Running;Bool;%M11.1
HMI_Lamp_Done;Bool;%M11.2
HMI_Lamp_Stopped;Bool;%M11.3
HMI_Lamp_Auto;Bool;%M11.4
HMI_Lamp_Manual;Bool;%M11.5
HMI_Cycle_Count;Int;%MW16
HMI_Step_Text_ID;Int;%MW18
