Category;Name;DataType;LogicalAddress;Comment
01_HMI;HMI_RFID_Read;Bool;%M20.0;Pulse — RFID product read
01_HMI;HMI_RFID_Write;Bool;%M20.1;From FB_VisionReader Write_Req
01_HMI;HMI_RFID_Check;Bool;%M20.2;Pulse — tag present?
01_HMI;HMI_RFID_Clear;Bool;%M20.3;Pulse — clear tag
01_HMI;HMI_RFID_Reset;Bool;%M20.4;Reset Vision + RFID
01_HMI;Memory_Index;DInt;%MD2;RFID Memory_Index (your TIA)
01_HMI;RFID_Code_IN;UDInt;%MD22;Vision → RFID_Code_In (your TIA)
01_HMI;Artikelnummer_In;UInt;%MW6;Vision Artikelnummer YY+Mat+Color
01_HMI;Material_Art_In;USInt;%MB1;Vision Materialart (1=plastic)
01_HMI;ProductType_In;UInt;%MW26;Vision ProductTyp Lid*10+Base
02_FIO_IN;4b_RFID Reader 2 Command ID;DInt;%ID138;Zone 5a plastic warehouse
02_FIO_IN;4b_RFID Reader 2 Status;DInt;%ID130;
02_FIO_IN;4b_RFID Reader 2 Read Data;DInt;%ID134;
02_FIO_IN;Vision_Lid_Value;DInt;%ID142;After Plastic Lid MC — All Numerical
02_FIO_IN;Vision_Base_Value;DInt;%ID146;After Plastic Base MC — All Numerical
03_FIO_OUT;4b_RFID Reader 2 Execute Command;Bool;%Q11.1;Your TIA %A11.1
03_FIO_OUT;4b_RFID Reader 2 Command;DInt;%QD104;Prefer FIO export %QD104 (not %QD76 if 4a uses 76)
03_FIO_OUT;4b_RFID Reader 2 Write Data;DInt;%QD108;
03_FIO_OUT;4b_RFID Reader 2 Memory Index;DInt;%QD112;
04_Vision;Vision_Lid_Detecting;Bool;%M23.0;
04_Vision;Vision_Base_Detecting;Bool;%M23.1;
04_Vision;Vision_Lid_Valid;Bool;%M23.2;
04_Vision;Vision_Base_Valid;Bool;%M23.3;
04_Vision;Vision_Lid_Reject_Metal;Bool;%M23.4;
04_Vision;Vision_Base_Reject_Metal;Bool;%M23.5;
04_Vision;Vision_Latch_Lid;Int;%MW68;
04_Vision;Vision_Latch_Base;Int;%MW70;
04_Vision;Vision_Both_Ready;Bool;%M23.6;
04_Vision;Vision_Same_Color;Bool;%M23.7;
