Name;Path;Data Type;Logical Address;Comment;Hmi Visible
3a_Material_Placed_PP_Metal;Standard-Variablentabelle;Bool;%M0.2;;True
Clock_Byte;Standard-Variablentabelle;Byte;%MB20;;True
4a_HMI_Start;Gantry;Bool;%M8.0;Zone 4A HMI (same as previous Palletizer screen);True
4a_HMI_Stop;Gantry;Bool;%M8.1;Zone 4A;True
4a_HMI_Reset;Gantry;Bool;%M8.2;Zone 4A;True
4a_HMI_Auto;Gantry;Bool;%M8.3;Zone 4A;True
4a_HMI_SingleCycle;Gantry;Bool;%M8.4;Zone 4A;True
4a_Pallet_Ready;Gantry;Bool;%M10.3;HMI compatibility (palletizer name);True
4a_Loading_Pallet_Active;Gantry;Bool;%M10.4;TRUE while Grab;True
4a_Busy;Gantry;Bool;%M10.5;Zone 4A Busy;True
4a_Done;Gantry;Bool;%M10.6;Zone 4A Done;True
4a_State;Gantry;Int;%MW12;Zone 4A step;True
4a_Assembly_Count;Gantry;Int;%MW14;HMI compatibility;True
4a_HMI_Lamp_Ready;Gantry;Bool;%M11.0;Zone 4A;True
4a_HMI_Lamp_Running;Gantry;Bool;%M11.1;Zone 4A;True
4a_HMI_Lamp_Done;Gantry;Bool;%M11.2;Zone 4A;True
4a_HMI_Lamp_Stopped;Gantry;Bool;%M11.3;Zone 4A;True
4a_HMI_Lamp_Auto;Gantry;Bool;%M11.4;Zone 4A;True
4a_HMI_Lamp_Manual;Gantry;Bool;%M11.5;Zone 4A;True
4a_HMI_Cycle_Count;Gantry;Int;%MW16;Zone 4A;True
4a_HMI_Step_Text_ID;Gantry;Int;%MW18;Zone 4A;True
1a_M_C_0_ANWESEND_Sensor;Standard-Variablentabelle;Bool;%E0.0;1a | Factory I/O: 1a_M_C_0_ANWESEND_Sensor;True
1a_M_C_1_ANWESEND_Sensor;Standard-Variablentabelle;Bool;%E0.1;1a | Factory I/O: 1a_M_C_1_ANWESEND_Sensor;True
1b_plastic_raw_material_sensor_1;Standard-Variablentabelle;Bool;%E1.0;1b | Factory I/O: 1b_plastic_raw_material_sensor_1;True
1b_Plastic_raw_material_sensor_2;Standard-Variablentabelle;Bool;%E1.1;1b | Factory I/O: 1b_Plastic_raw_material_sensor_2;True
2a_Eck_Foerderband_MBase;Standard-Variablentabelle;Bool;%E2.0;2a | Factory I/O: 2a_Eck_Foerderband_MBase;True
2a_Eck_Foerderband_MLid;Standard-Variablentabelle;Bool;%E2.1;2a | Factory I/O: 2a_Eck_Foerderband_MLid;True
2a_Worked_Part_from_MC_out;Standard-Variablentabelle;Bool;%E2.2;2a | Factory I/O: 2a_Worked_Part_from_MC_out;True
2a_Worked_Part_from_MC_out_2;Standard-Variablentabelle;Bool;%E2.3;2a | Factory I/O: 2a_Worked_Part_from_MC_out_2;True
3b_Diffuse_Sensor_12;Standard-Variablentabelle;Bool;%E7.4;2b | Factory I/O: 2b_Diffuse Sensor 12;True
2b_Diffuse_Sensor_39;Standard-Variablentabelle;Bool;%E3.1;2b | Factory I/O: 2b_Diffuse Sensor 39;True
2b_Diffuse_Sensor_42;Standard-Variablentabelle;Bool;%E3.2;2b | Factory I/O: 2b_Diffuse Sensor 42;True
3a_Baugruppe_Left_Positioner_2_Clamped;Standard-Variablentabelle;Bool;%E4.0;3a | Factory I/O: 3a_Baugruppe_Left Positioner 2 (Clamped);True
3a_Part_Left_1;Standard-Variablentabelle;Bool;%E4.1;3a | Factory I/O: 3a_Part_Left_1;True
3a_Right_Positioner_0_Limit;Standard-Variablentabelle;Bool;%E4.2;3a | Factory I/O: 3a_Right Positioner 0 (Limit);True
3a_Right_Positioner_0_Clamped;Standard-Variablentabelle;Bool;%E4.3;3a | Factory I/O: 3a_Right Positioner 0 (Clamped);True
3a_Sensor_at_PP_Base;Standard-Variablentabelle;Bool;%E4.4;3a | Factory I/O: 3a_Sensor_at_PP_Base;True
3a_Sensor_at_PP_Lid;Standard-Variablentabelle;Bool;%E4.5;3a | Factory I/O: 3a_Sensor_at_PP_Lid;True
3a_Sensor_Before_PP_Base;Standard-Variablentabelle;Bool;%E4.6;3a | Factory I/O: 3a_Sensor_Before_PP_Base;True
3a_Sensor_Before_PP_Lid;Standard-Variablentabelle;Bool;%E4.7;3a | Factory I/O: 3a_Sensor_Before_PP_Lid;True
3a_Two_Axis_Pick_and_Place_0_Moving_X;Standard-Variablentabelle;Bool;%E5.0;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Moving X);True
3a_Two_Axis_Pick_and_Place_0_Moving_Z;Standard-Variablentabelle;Bool;%E5.1;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Moving Z);True
3a_Two_Axis_Pick_and_Place_0_Rotating;Standard-Variablentabelle;Bool;%E5.2;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Rotating);True
3a_Two_Axis_Pick_and_Place_0_Item_Detected;Standard-Variablentabelle;Bool;%E5.3;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Item Detected);True
3a_Two_Axis_Pick_and_Place_0_Gripper_Rotating;Standard-Variablentabelle;Bool;%E5.4;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Gripper Rotating);True
3b_Diffuse_Sensor_36;Standard-Variablentabelle;Bool;%E6.0;3b | Factory I/O: 3b_Diffuse Sensor 36;True
