Category;Screen;HMI_Object;PLC_Tag_or_Path;DataType;Address_or_DB;Access;Notes
04_Rack;Overview;Rect Fach_01 fill;gldb_AktuellerFach_HMI.Lagerstatus.Farbe[1];USInt;DB;R;Range 0 frei 1 blau 2 gruen 3 mixed 4 metall 5 gesperrt
04_Rack;Overview;Rect Fach_01 Belegt;gldb_AktuellerFach_HMI.Lagerstatus.Belegt[1];Bool;DB;R;Fallback 2-colour fill
04_Rack;Overview;Rect Fach_01 Ziel;gldb_AktuellerFach_HMI.Lagerstatus.Ziel[1];Bool;DB;R;Visibility + flash border
04_Rack;Overview;Click Fach_01;HMI_Fachnummer;UInt;RW;SetValue := 1
04_Rack;Overview;Rect Fach_02 fill;gldb_AktuellerFach_HMI.Lagerstatus.Farbe[2];USInt;DB;R;Range 0 frei 1 blau 2 gruen 3 mixed 4 metall 5 gesperrt
04_Rack;Overview;Rect Fach_02 Belegt;gldb_AktuellerFach_HMI.Lagerstatus.Belegt[2];Bool;DB;R;Fallback 2-colour fill
04_Rack;Overview;Rect Fach_02 Ziel;gldb_AktuellerFach_HMI.Lagerstatus.Ziel[2];Bool;DB;R;Visibility + flash border
04_Rack;Overview;Click Fach_02;HMI_Fachnummer;UInt;RW;SetValue := 2
04_Rack;Overview;Rect Fach_03 fill;gldb_AktuellerFach_HMI.Lagerstatus.Farbe[3];USInt;DB;R;Range 0 frei 1 blau 2 gruen 3 mixed 4 metall 5 gesperrt
04_Rack;Overview;Rect Fach_03 Belegt;gldb_AktuellerFach_HMI.Lagerstatus.Belegt[3];Bool;DB;R;Fallback 2-colour fill
04_Rack;Overview;Rect Fach_03 Ziel;gldb_AktuellerFach_HMI.Lagerstatus.Ziel[3];Bool;DB;R;Visibility + flash border
04_Rack;Overview;Click Fach_03;HMI_Fachnummer;UInt;RW;SetValue := 3
04_Rack;Overview;Rect Fach_04 fill;gldb_AktuellerFach_HMI.Lagerstatus.Farbe[4];USInt;DB;R;Range 0 frei 1 blau 2 gruen 3 mixed 4 metall 5 gesperrt
04_Rack;Overview;Rect Fach_04 Belegt;gldb_AktuellerFach_HMI.Lagerstatus.Belegt[4];Bool;DB;R;Fallback 2-colour fill
04_Rack;Overview;Rect Fach_04 Ziel;gldb_AktuellerFach_HMI.Lagerstatus.Ziel[4];Bool;DB;R;Visibility + flash border
04_Rack;Overview;Click Fach_04;HMI_Fachnummer;UInt;RW;SetValue := 4
04_Rack;Overview;Rect Fach_05 fill;gldb_AktuellerFach_HMI.Lagerstatus.Farbe[5];USInt;DB;R;Range 0 frei 1 blau 2 gruen 3 mixed 4 metall 5 gesperrt
04_Rack;Overview;Rect Fach_05 Belegt;gldb_AktuellerFach_HMI.Lagerstatus.Belegt[5];Bool;DB;R;Fallback 2-colour fill
04_Rack;Overview;Rect Fach_05 Ziel;gldb_AktuellerFach_HMI.Lagerstatus.Ziel[5];Bool;DB;R;Visibility + flash border
04_Rack;Overview;Click Fach_05;HMI_Fachnummer;UInt;RW;SetValue := 5
04_Rack;Overview;Rect Fach_06 fill;gldb_AktuellerFach_HMI.Lagerstatus.Farbe[6];USInt;DB;R;Range 0 frei 1 blau 2 gruen 3 mixed 4 metall 5 gesperrt
04_Rack;Overview;Rect Fach_06 Belegt;gldb_AktuellerFach_HMI.Lagerstatus.Belegt[6];Bool;DB;R;Fallback 2-colour fill
04_Rack;Overview;Rect Fach_06 Ziel;gldb_AktuellerFach_HMI.Lagerstatus.Ziel[6];Bool;DB;R;Visibility + flash border
04_Rack;Overview;Click Fach_06;HMI_Fachnummer;UInt;RW;SetValue := 6
04_Rack;Overview;Rect Fach_07 fill;gldb_AktuellerFach_HMI.Lagerstatus.Farbe[7];USInt;DB;R;Range 0 frei 1 blau 2 gruen 3 mixed 4 metall 5 gesperrt
04_Rack;Overview;Rect Fach_07 Belegt;gldb_AktuellerFach_HMI.Lagerstatus.Belegt[7];Bool;DB;R;Fallback 2-colour fill
04_Rack;Overview;Rect Fach_07 Ziel;gldb_AktuellerFach_HMI.Lagerstatus.Ziel[7];Bool;DB;R;Visibility + flash border
04_Rack;Overview;Click Fach_07;HMI_Fachnummer;UInt;RW;SetValue := 7
