Name;Path;DataType;LogicalAddress;Comment
3a_Material_Placed_PP_Metal;Standard-Variablentabelle;Bool;%M0.2;
Clock_Byte;Standard-Variablentabelle;Byte;%MB20;
4a_HMI_Start;Gantry;Bool;%M8.0;Zone 4A HMI (same as previous Palletizer screen)
4a_HMI_Stop;Gantry;Bool;%M8.1;Zone 4A
4a_HMI_Reset;Gantry;Bool;%M8.2;Zone 4A
4a_HMI_Auto;Gantry;Bool;%M8.3;Zone 4A
4a_HMI_SingleCycle;Gantry;Bool;%M8.4;Zone 4A
4a_Pallet_Ready;Gantry;Bool;%M10.3;HMI compatibility (palletizer name)
4a_Loading_Pallet_Active;Gantry;Bool;%M10.4;TRUE while Grab
4a_Busy;Gantry;Bool;%M10.5;Zone 4A Busy
4a_Done;Gantry;Bool;%M10.6;Zone 4A Done
4a_State;Gantry;Int;%MW12;Zone 4A step
4a_Assembly_Count;Gantry;Int;%MW14;HMI compatibility
4a_HMI_Lamp_Ready;Gantry;Bool;%M11.0;Zone 4A
4a_HMI_Lamp_Running;Gantry;Bool;%M11.1;Zone 4A
4a_HMI_Lamp_Done;Gantry;Bool;%M11.2;Zone 4A
4a_HMI_Lamp_Stopped;Gantry;Bool;%M11.3;Zone 4A
4a_HMI_Lamp_Auto;Gantry;Bool;%M11.4;Zone 4A
4a_HMI_Lamp_Manual;Gantry;Bool;%M11.5;Zone 4A
4a_HMI_Cycle_Count;Gantry;Int;%MW16;Zone 4A
4a_HMI_Step_Text_ID;Gantry;Int;%MW18;Zone 4A
1a_M_C_0_ANWESEND_Sensor;Standard-Variablentabelle;Bool;%E0.0;1a | Factory I/O: 1a_M_C_0_ANWESEND_Sensor
1a_M_C_1_ANWESEND_Sensor;Standard-Variablentabelle;Bool;%E0.1;1a | Factory I/O: 1a_M_C_1_ANWESEND_Sensor
1b_plastic_raw_material_sensor_1;Standard-Variablentabelle;Bool;%E1.0;1b | Factory I/O: 1b_plastic_raw_material_sensor_1
1b_Plastic_raw_material_sensor_2;Standard-Variablentabelle;Bool;%E1.1;1b | Factory I/O: 1b_Plastic_raw_material_sensor_2
2a_Eck_Foerderband_MBase;Standard-Variablentabelle;Bool;%E2.0;2a | Factory I/O: 2a_Eck_Foerderband_MBase
2a_Eck_Foerderband_MLid;Standard-Variablentabelle;Bool;%E2.1;2a | Factory I/O: 2a_Eck_Foerderband_MLid
2a_Worked_Part_from_MC_out;Standard-Variablentabelle;Bool;%E2.2;2a | Factory I/O: 2a_Worked_Part_from_MC_out
2a_Worked_Part_from_MC_out_2;Standard-Variablentabelle;Bool;%E2.3;2a | Factory I/O: 2a_Worked_Part_from_MC_out_2
3b_Diffuse_Sensor_12;Standard-Variablentabelle;Bool;%E7.4;2b | Factory I/O: 2b_Diffuse Sensor 12
2b_Diffuse_Sensor_39;Standard-Variablentabelle;Bool;%E3.1;2b | Factory I/O: 2b_Diffuse Sensor 39
2b_Diffuse_Sensor_42;Standard-Variablentabelle;Bool;%E3.2;2b | Factory I/O: 2b_Diffuse Sensor 42
3a_Baugruppe_Left_Positioner_2_Clamped;Standard-Variablentabelle;Bool;%E4.0;3a | Factory I/O: 3a_Baugruppe_Left Positioner 2 (Clamped)
3a_Part_Left_1;Standard-Variablentabelle;Bool;%E4.1;3a | Factory I/O: 3a_Part_Left_1
3a_Right_Positioner_0_Limit;Standard-Variablentabelle;Bool;%E4.2;3a | Factory I/O: 3a_Right Positioner 0 (Limit)
3a_Right_Positioner_0_Clamped;Standard-Variablentabelle;Bool;%E4.3;3a | Factory I/O: 3a_Right Positioner 0 (Clamped)
3a_Sensor_at_PP_Base;Standard-Variablentabelle;Bool;%E4.4;3a | Factory I/O: 3a_Sensor_at_PP_Base
3a_Sensor_at_PP_Lid;Standard-Variablentabelle;Bool;%E4.5;3a | Factory I/O: 3a_Sensor_at_PP_Lid
3a_Sensor_Before_PP_Base;Standard-Variablentabelle;Bool;%E4.6;3a | Factory I/O: 3a_Sensor_Before_PP_Base
3a_Sensor_Before_PP_Lid;Standard-Variablentabelle;Bool;%E4.7;3a | Factory I/O: 3a_Sensor_Before_PP_Lid
3a_Two_Axis_Pick_and_Place_0_Moving_X;Standard-Variablentabelle;Bool;%E5.0;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Moving X)
3a_Two_Axis_Pick_and_Place_0_Moving_Z;Standard-Variablentabelle;Bool;%E5.1;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Moving Z)
3a_Two_Axis_Pick_and_Place_0_Rotating;Standard-Variablentabelle;Bool;%E5.2;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Rotating)
3a_Two_Axis_Pick_and_Place_0_Item_Detected;Standard-Variablentabelle;Bool;%E5.3;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Item Detected)
3a_Two_Axis_Pick_and_Place_0_Gripper_Rotating;Standard-Variablentabelle;Bool;%E5.4;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Gripper Rotating)
3b_Diffuse_Sensor_36;Standard-Variablentabelle;Bool;%E6.0;3b | Factory I/O: 3b_Diffuse Sensor 36
3b_Diffuse_Sensor_38;Standard-Variablentabelle;Bool;%E6.1;3b | Factory I/O: 3b_Diffuse Sensor 38
3b_Diffuse_Sensor_40;Standard-Variablentabelle;Bool;%E6.2;3b | Factory I/O: 3b_Diffuse Sensor 40
3b_Left_Positioner_1_Limit;Standard-Variablentabelle;Bool;%E6.3;3b | Factory I/O: 3b_Left Positioner 1 (Limit)
3b_Left_Positioner_1_Clamped;Standard-Variablentabelle;Bool;%E6.4;3b | Factory I/O: 3b_Left Positioner 1 (Clamped)
3b_Right_Positioner_3_Limit;Standard-Variablentabelle;Bool;%E6.5;3b | Factory I/O: 3b_Right Positioner 3 (Limit)
3b_Right_Positioner_3_Clamped;Standard-Variablentabelle;Bool;%E6.6;3b | Factory I/O: 3b_Right Positioner 3 (Clamped)
3b_Two_Axis_Pick_and_Place_1_Moving_X;Standard-Variablentabelle;Bool;%E6.7;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Moving X)
3b_Two_Axis_Pick_and_Place_1_Moving_Z;Standard-Variablentabelle;Bool;%E7.0;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Moving Z)
3b_Two_Axis_Pick_and_Place_1_Rotating;Standard-Variablentabelle;Bool;%E7.1;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Rotating)
3b_Two_Axis_Pick_and_Place_1_Item_Detected;Standard-Variablentabelle;Bool;%E7.2;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Item Detected)
3b_Two_Axis_Pick_and_Place_1_Gripper_Rotating;Standard-Variablentabelle;Bool;%E7.3;3b | Factory I/O: 3b_Two-Axis Pick & Place 1 (Gripper Rotating)
4a_at_Palletizer_machine;Standard-Variablentabelle;Bool;%E8.0;4a | Factory I/O: 4a_at_palletierer machine | DUPLICATE source name - verify mapping
4a_vor_Palletizer_Band_set;Standard-Variablentabelle;Bool;%E8.1;4a | Factory I/O: 4a_vor_Palletizer_Band_set
4a_Pallet_at_Palletizer;Standard-Variablentabelle;Bool;%E8.2;4a | Factory I/O: 4a_Pallet_at_Palletizer
4a_at_Palletizer_machine_2;Standard-Variablentabelle;Bool;%E8.3;4a | Factory I/O: 4a_at_palletierer machine | DUPLICATE source name - verify mapping
4a_Pallet_Present;Standard-Variablentabelle;Bool;%E8.4;4a | Factory I/O: 4a_Pallet_Present
4a_Pick_and_Place_1_Moving_Z;Standard-Variablentabelle;Bool;%E8.5;4a | Factory I/O: 4a_Pick & Place 1 (Moving-Z)
4a_Pick_and_Place_1_Moving_XY;Standard-Variablentabelle;Bool;%E8.6;4a | Factory I/O: 4a_Pick & Place 1 (Moving-XY)
1a_Emitter_1_Emit;Standard-Variablentabelle;Bool;%A0.0;1a | Factory I/O: 1a_Emitter 1 (Emit)
1a_Emitter_2_Emit;Standard-Variablentabelle;Bool;%A0.1;1a | Factory I/O: 1a_Emitter 2 (Emit)
1a_M_C_1_AN_WESEND_Belt_Conveyor_2m;Standard-Variablentabelle;Bool;%A0.2;1a | Factory I/O: 1a_M_C_1_AN_WESEND_Belt Conveyor (2m)
1a_M_C_ANWESEND_Belt_Conveyor_2m;Standard-Variablentabelle;Bool;%A0.3;1a | Factory I/O: 1a_M_C_ANWESEND_Belt Conveyor (2m)
1b_DC_0_Belt_Conveyor_2m;Standard-Variablentabelle;Bool;%A1.0;1b | Factory I/O: 1b_DC_0_Belt_Conveyor(2m)
1b_Emitter_5_Emit;Standard-Variablentabelle;Bool;%A1.1;1b | Factory I/O: 1b_Emitter 5 (Emit)
1b_raw_material_emitter_2;Standard-Variablentabelle;Bool;%A1.2;1b | Factory I/O: 1b_raw_material_emitter__2
2a_After_DC_Our_0;Standard-Variablentabelle;Bool;%A2.0;2a | Factory I/O: 2a_After_DC_Our_0
2a_After_MC_out_0;Standard-Variablentabelle;Bool;%A2.1;2a | Factory I/O: 2a_After_MC_out_0
2a_After_Metal_MC_Base_Conveyor;Standard-Variablentabelle;Bool;%A2.2;2a | Factory I/O: 2a_After_Metal_MC_Base_Conveyor
2a_After_Metal_MC_Lid_Conveyor;Standard-Variablentabelle;Bool;%A2.3;2a | Factory I/O: 2a_After_Metal_MC_Lid_Conveyor
2a_Motor_Before_PP_Base;Standard-Variablentabelle;Bool;%A2.4;2a | Factory I/O: 2a_Motor_Before_PP_Base
2a_Motor_Before_PP_Lid;Standard-Variablentabelle;Bool;%A2.5;2a | Factory I/O: 2a_Motor_Before_PP_Lid
2b_After_Plastic_DC_out_0;Standard-Variablentabelle;Bool;%A3.0;2b | Factory I/O: 2b_After_Plastic_DC_out_0
2b_After_Plastic_MC_out_1;Standard-Variablentabelle;Bool;%A3.1;2b | Factory I/O: 2b_After_Plastic_MC_out_1
2b_After_Plastic_MC_out_2;Standard-Variablentabelle;Bool;%A3.2;2b | Factory I/O: 2b_After_Plastic_MC_out_2
